ಅಂಕದ ಪರದೆ ಏಳು	ಪ್ರಾರಂಭವಾಗು, ಆರಂಭವಾಗು
ದೂರವಿಡು	ಅತಿಯಾದ ಸಲಿಗೆ ಕೊಡದಿರುವುದು
ದೂರ್ವಾಸ	ಶೀಘ್ರದಲ್ಲಿ ಕೋಪವುಂಟಾಗುವವ
ದೃಷ್ಟಿ ತಗುಲು	ಕೆಟ್ಟ ಕಣ್ಣು ತಗುಲು
ದೃಷ್ಟಿ ತಾಗು	ಕೆಟ್ಟವರ ಕಣ್ಣು ಬೀಳುವುದು
ದೃಷ್ಟಿ ತೆಗೆ	ದೃಷ್ಟಿಯಿಂದಾದ ದೋಷವನ್ನು ನಿವಾರಿಸುವುದು
ದೃಷ್ಟಿ ನಿವಾಳಿಸು	ದೃಷ್ಟಿಯಿಂದಾದ ದೋಷವನ್ನು ನಿವಾರಿಸುವುದು
ದೃಷ್ಟಿ ಬೀಳು	ಕೆಟ್ಟ ಕಣ್ಣು ತಗುಲುವುದು
ದೃಷ್ಟಿ ಹರಿಸು	ಗಮನಿಸು, ನೋಡು
ದೆವ್ವ ಬಿಡಿಸು	ಚೆನ್ನಾಗಿ ಬಡಿ, ಹೊಡೆ, ಥಳಿಸು
ದೇಶಾವರದ ನಗು	ಮನಸ್ಸಿಲ್ಲದೆ ಯಾಂತ್ರಿಕವಾಗಿ ನಗುವುದು
ದೇಶಾವರ ಮಾಡು	ಭಿಕ್ಷೆ ಎತ್ತು
ದೊಂಬಿ ಏಳು	ದಂಗೆ ಏಳು, ಎದುರಿಸು
ದೊಡ್ಡವಳಾಗು	ಮೈನೆರೆ, ಪುಷ್ಪವತಿಯಾಗು
ದೊಣ್ಣೆ ನ್ಯಾಯ	ಬಲಿಷ್ಠರು ಮಾಡುವ ನೀತಿ, ಹೊಡೆತದ ಬೆದರಿಕೆ
ದೌಡು ಕೀಳು	ಓಡಿಹೋಗು, ಪಲಾಯನ ಮಾಡು
ದೌಲತ್ತು ಮಾಡು	ಅಧಿಕಾರ ಚಲಾಯಿಸು
ದ್ರಾವಿಡ ಪ್ರಾಣಾಯಾಮ	ಸುತ್ತಿಬಳಸಿ ಮಾಡುವ ಸಾಧನೆ, ಬಳಸು ದಾರಿ
ಧರಣಿ ಹೂಡು	ಮುಷ್ಕರವನ್ನು ಮಾಡು
ಧರ್ಮದ ಬಡ್ಡಿ	ನ್ಯಾಯವಾದ ಬಡ್ಡಿ
ಧರ್ಮರಾಯ	ಸಾತ್ವಿಕ ವ್ಯಕ್ತಿ, ಮೋಸ ವಂಚನೆ ಅರಿಯದವನು
ಧೂಪ ಹಾಕು	ಪೂಜೆ ಮಾಡು, ಗೌರವಿಸು
ಧೂಮಕೇತು	ಕೇಡು ಬರುವ ಸಂಕೇತ, ಅಶುಭ ಸಂಕೇತ
ಧೂಳೀಪಟ ಮಾಡು	ನಾಶ ಮಾಡು, ಹಾಳು ಮಾಡು
ಧೂಳು ಝಾಡಿಸು	ವಿಚಾರಣೆ ನಡೆಸು, ತರಾಟೆಗೆ ತೆಗೆದುಕೊಳ್ಳು
ಧ್ವಜ ಊರು	ಠಿಕಾಣಿ ಹಾಕು, ಇದ್ದಲ್ಲಿಯೇ ಇರು
ನಂಜು ಕಾರು	ಹೊಟ್ಟೆಕಿಚ್ಚು ಪಡು, ಕರುಬು
ನಂಜು ನುಡಿ	ಹೊಟ್ಟೆಕಿಚ್ಚಿನ ಮಾತು, ಮಾತ್ಸರ್ಯ
ನಕ್ಷತ್ರಿಕ	ತೊಂದರೆ ಕೊಡುವವ, ಪೀಡಿಸುವವ
ನಗಾರಿ ಬಾರಿಸು	ಜೋರಾಗಿ ಕೂಗಿಕೊಳ್ಳು
ನಡುಕಟ್ಟು	ಸಿದ್ಧನಾಗಿರು, ಅಣಿಯಾಗು
ನಡು ಬಗ್ಗಿಸು	ಶ್ರಮಪಟ್ಟು ಕೆಲಸ ಮಾಡು
ನರಪಿಳ್ಳೆ	ಸಾಧಾರಣ ಮನುಷ್ಯ
ನರಿ	ಮೋಸಗಾರ, ಕುಟಿಲ ಸ್ವಭಾವದವ
ನರಿ ಕೊಂಬು	ಅಸಂಭವವಾದ ವಸ್ತು, ಕಾಲ್ಪನಿಕ ವಸ್ತು
ನರಿಯ ಬುದ್ಧಿ	ಮೋಸಗಾರಿಕೆ, ತಂತ್ರಗಾರಿಕೆ
ನಸುಗುನ್ನಿಕಾಯಿ	ಕೀಟಲೆ ಸ್ವಭಾವದವ
ನಾಂದಿ ಹಾಡು	ಆರಂಭಿಸು, ಪ್ರಾರಂಭಮಾಡು, ಮೊದಲು ಮಾಡು
ನಾಟಕ ಆಡು	ಏನೂ ಗೊತ್ತಿಲ್ಲದಂತೆ ಇರು
ನಾಮ ಹಾಕು	ಮೋಸ ಮಾಡು, ಅನ್ಯಾಯ ಮಾಡು
ನಾಯಿ ಕಿವಿ	ಚುರುಕಾದ ಕಿವಿ
ನಾಯಿಜನ್ಮ	ಕೆಟ್ಟ ಜನ್ಮ ನೀಚ ಕುಲ
ನಾಯಿ ಪಾಡು	ಹೀನಾಯ ಸ್ಥಿತಿ
ನಾಯಿ ಪಾಲಾಗು	ಹಾಳಾಗಿ ಹೋಗು, ನಷ್ಟವಾಗು
ನಾಯಿ ಬದುಕು	ಕೀಳು ಬದುಕು, ಹೇಯವಾದ ಜೀವನ
ನಾಯಿ ಬಾಲ	ತಿದ್ದಲಾರದ ಗುಣ, ಬದಲಾಯಿಸಲಾಗದ ಸ್ವಭಾವ
ನಾಯಿಬುದ್ಧಿ	ನೀಚತನ, ಅಲ್ಪತನ
ನಾಯಿ ಮೊಲೆಯ ಹಾಲು	ನಿಷ್ಟ್ರಯೋಜಕವಾದುದು
ನಾರದ	ಚಾಡಿಕೋರ, ಇಬ್ಬರ ನಡುವೆ ಜಗಳ ತಂದಿಕ್ಕಿ ಮೋಜು ನೋಡುವವ
ನಾಲಗೆ ಉದ್ದಬಿಡು	ಮಿತಿ ಮೀರಿ ಮಾತನಾಡು
ನಾಲಗೆ ಚಪ್ಪರಿಸು	ಆಸೆ ಪಡು, ಇಚ್ಛೆಪಡು
ನಾಲಗೆ ತಪ್ಪು	ಮಾತಿಗೆ ತಪ್ಪು
ನಾಲಗೆ ಬರು	ಮಾತನಾಡಲು ಮನಸ್ಸು ಮಾಡು
ನಾಲಗೆ ಬೀಳು	ಮಾತು ಬರದಂತಾಗು. ಮೂಗನಾಗು
ನಾಲಗೆಯ ತೀಟೆ	ಮಾತನಾಡಬೇಕೆಂಬ ಚಪಲ
ನಾಲಗೆಯಾಡಿಸು	ಮಾತನಾಡು
ನಾಲಗೆ ಸತ್ತುಹೋಗು	ಮಾತು ಬಾರದಿರು, ರುಚಿಕೆಡುವುದು
ನಾಲಗೆ ಹರಿತವಾಗು	ತೀಕ್ಷ್ಮವಾಗಿ ಮಾತನಾಡು
ನಾಲಗೆ ಹರಿಬಿಡು	ಮನಸ್ಸಿಗೆ ತೋಚಿದಂತೆ ಮಾತನಾಡು
ನಾಲಗೆ ಉದ್ದವಾಗು	ಹೆಚ್ಚಾಗಿ ಮಾತನಾಡು
ನಾಲಗೆ ಕಿತ್ತುಬರು	ದುಃಖ ಹೆಚ್ಚಾಗುವುದು
ನಾಲಗೆ ಸಡಿಲ ಬಿಡು	ತುಂಬಾ ಮಾತನಾಡು, ಹೆಚ್ಚು ಮಾತನಾಡು
ನಾಲಗೆ ಹೋಗು	ಮಾತನಾಡುವ ಶಕ್ತಿ ಹೋಗುವುದು
ನಾಲ್ಕು ಜನರಿಗೆ ಬೇಕಾಗು	ಜನಪ್ರಿಯನಾಗು
ನಿಕಾಲಿ ಮಾಡು	ಬಗೆಹರಿಸು, ಇತ್ಯರ್ಥಗೊಳಿಸು
ನಿಗಿತುಕೊಳ್ಳು	ಸತ್ತು ಹೋಗು, ಮರಣಿಸು
ನಿದ್ದೆ ತಿಳಿ	ಎಚ್ಚರವಾಗು, ಏಳು, ಎದ್ದೇಳು
ನಿದ್ದೆ ಹರಿ	ಎಚ್ಚರವಾಗು, ಎದ್ದೇಳು
ನಿವಾಳಿಸು	ದೃಷ್ಟಿ ತೆಗೆದು ಚೆಲ್ಲು ಕಡೆಗಣಿಸು
ನೀರಮೇಲಣ ಗುಳ್ಳೆ	ನಶ್ವರವಾದುದು, ಅಶಾಶ್ವತ
ನೀರಲ್ಲಿ ಹಾಕು	ವ್ಯರ್ಥಮಾಡು, ಹಾಳುಗೆಡಿಸು
ನೀರಲ್ಲಿ ಹೋಮ ಮಾಡು	ವ್ಯರ್ಥಗೊಳಿಸು
ನೀರು ಕುಡಿಸು	ಕಷ್ಟದಲ್ಲಿ ಸಿಕ್ಕಿಸು
ನೀರು ಪಾಲಾಗು	ಹಾಳಾಗು, ದಿವಾಳಿಯಾಗು, ನಾಶವಾಗು
ನೀರು ಪಾಲು ಮಾಡು	ಹಾಳು ಮಾಡು, ನಾಶ ಮಾಡು
ನೀರೆರೆಚು	ಉತ್ಸಾಹ ಕುಂದಿಸು, ಕಡಿಮೆಗೊಳಿಸು
ನೀಲಿ ಹಾಕು	ಮೋಸ ಮಾಡು, ವಂಚಿಸು
ನುಂಗಲಾರದ ತುತ್ತು	ಅರ್ಥಮಾಡಿಕೊಳ್ಳಲು ಕಷ್ಟವಾದುದು, ನಿಭಾಯಿಸಲು ಸಾಧ್ಯವಾಗದುದು
ನುಂಗುವಂತೆ ನೋಡು	ದುರುಗುಟ್ಟಿಕೊಂಡು ನೋಡು, ಕೋಪದಿಂದ ನೋಡು
ನುಗ್ಗಿ ನುಸಿಮಾಡು	ನಾಶಮಾಡು, ಧ್ವಂಸಮಾಡು
ನುಗ್ಗ ನುಸಿಯಾಗು	ಹಾಳಾಗು, ನಾಶವಾಗು
ನುರಿತ ಕೈ	ಅನುಭವ ಹೊಂದಿದವ, ಪ್ರವೀಣ
ನೆಗೆದು ಬೀಳು	ನಾಶವಾಗು, ಸಾಯು, ಮರಣಹೊಂದು
ನೆತ್ತರು ಕುದಿ	ಬಹಳ ಕೋಪ ಬರು
ನೆತ್ತರು ಬಸಿ	ಹೆಚ್ಚು ಶ್ರಮಪಡು
ನೆತ್ತಿಗೇರು	ಗರ್ವಬರು, ಅಹಂಕಾರ ಬರು
ನೆತ್ತಿಯ ಮೇಲೆ ಕಣ್ಣು ಬರು	ಅಹಂಕಾರ ಬರು, ಕೊಬ್ಬು ಬರು
ನೆನೆಗುದಿಗೆ ಬೀಳು	ನಿರ್ಧಾರಿತವಿಲ್ಲದಿರು, ಅನಿಶ್ಚಿತ
ನೆರಳು ಕುಗ್ಗು	ಆಯಸ್ಸು ಕ್ಷೀಣಿಸು, ಭಾಗ್ಯ ಕಡಿಮೆಯಾಗು
ನೆರಳು ಕೊಡು	ಆಸರೆ ನೀಡು
ನೆಲಕಚ್ಚು	ನಾಶವಾಗು, ಸೋತು ಹೋಗು, ಹತಾಶನಾಗು
ನೆಲ ನೋಡು	ನಾಚಿಕೆ ಪಡು, ಸಂಕೋಚ ಪಡು
ನೆಲಸಮ ಮಾಡು	ನಾಶಗೊಳಿಸು, ಹಾಳುಗೆಡಹು
ನೆಲ ಹಿಡಿ	ರೋಗದಿಂದ ಬಳಲು
ನೇಗಿಲು ಹಿಡಿ	ಬೇಸಾಯ ಮಾಡು, ವ್ಯವಸಾಯ ಮಾಡು
ನೊಗ ಇಳಿ	ಜವಾಬ್ದಾರಿ ಕಳೆ
ನೊಗಕ್ಕೆ ತಲೆ ಕೊಡು	ಭಾರ ವಹಿಸಿಕೊಳ್ಳು
ನೊಗ ಹೊರು	ಜವಾಬ್ದಾರಿ ಹೊರು, ಭಾರ ಹೊತ್ತುಕೊಳ್ಳು
ನೊಣ ಹೊಡೆ	ಕೆಲಸವಿಲ್ಲದೆ ಸುಮ್ಮನೆ ಕುಳಿತಿರು
ನೊಣೆದು ನುಂಗು	ಸಂಪೂರ್ಣವಾಗಿ ನಾಶವಾಗು
ನೊರೆಯಾರು	ತಣ್ಣಗಾಗು
ನ್ಯಾಯ ತೀರಿಸು	ವ್ಯಾಜ್ಯವನ್ನು ಇತ್ಯರ್ಥಗೊಳಿಸು
ಪಂಗನಾಮ ಹಾಕು	ಮೋಸ ಮಾಡು, ವಂಚಿಸು
ಪಂಚಪ್ರಾಣ	ಅತಿ ಪ್ರಿಯವಾದ ವಸ್ತು
ಪಂಚಾಂಗ ಬಿಚ್ಚು	ಕೆಲಸವಿಲ್ಲದ ಒಣ ಹರಟೆ ಹೊಡೆ
ಪಂಪು ಹೊಡೆ	ಪುಸಲಾಯಿಸು, ಪ್ರೋತ್ಸಾಹಿಸು
ಪಟ್ಟಕ್ಕೆ ಬರು	ವಯಸ್ಸಿಗೆ ಬರು, ಅಧಿಕಾರಕ್ಕ ಬರು
ಪಟ್ಟು ಹಿಡಿ	ಹಟ ಮಾಡು, ಮೊಂಡಾಟಿಕೆ ಮಾಡು
ಪದರಿಗೆ ಹಾಕಿಕೊಳ್ಳು	ತನ್ನದನ್ನಾಗಿ ಮಾಡಿಕೊಳ್ಳು
ಪದ ಹಾಡು	ಮುಕ್ತಾಯ ಮಾಡು, ಕೊನೆಗೊಳಿಸು
ಪದ ಹೇಳಿಸು	ಗೋಳುಹುಯ್ದುಕೊಳ್ಳು
ಪದಾರ್ಪಣ ಮಾಡು	ಅನುಸರಿಸು, ಸಾಗು
ಪರಟೆ ಹಿಡಿ	ಭಿಕ್ಷೆ ಬೇಡುವಂತಾಗು
ಪಲಾಯನ ಪಂಡಿತ	ಹೇಡಿ, ಕೈಲಾಗದವ
ಪಲ್ಟಿ ಹೊಡೆ	ಫೇಲಾಗು, ನಪಾಸಾಗು, ಅನುತ್ತೀರ್ಣನಾಗು
ಪಲ್ಲವಿ ಹಾಡು	ಹೇಳಿದ್ದನ್ನೇ ಮತ್ತೆ ಮತ್ತೆ ಹೇಳು
ಪಾಠ ಕಲಿಸು	ಬುದ್ಧಿ ಕಲಿಸು, ತಕ್ಕ ಶಾಸ್ತಿ ಮಾಡು
ಪಾದ ಬೆಳೆಸು	ಬರು, ದಯಮಾಡಿಸು, ಆಗಮಿಸು
ಪಾದರಸ	ಚುರುಕಾದ ವ್ಯಕ್ತಿ
ಪಾಪಾಸುಕಳ್ಳಿ	ದುಷ್ಟತನದಿಂದ ಕೂಡಿದವ, ಕೆಟ್ಟ ವ್ಯಕ್ತಿ
ಪಾರಾಯಣ ಮಾಡು	ಒಂದೇ ವಿಚಾರವನ್ನು ಮತ್ತೆ ಮತ್ತೆ ಹೇಳು
ಪಾರುಪತ್ಯ ನಡೆಸು	ಮೇಲ್ವಿಚಾರಣೆ ಮಾಡು, ಜಂಭದಿಂದ ನಡೆದುಕೊಳ್ಳು
ಪಿತ್ತ ತಲೆಗೇರು	ಕೋಪಗೊಳ್ಳು, ಅತಿಯಾಗಿ ಸಿಟ್ಟು ಮಾಡಿಕೊಳ್ಳು
ಪಿತ್ತ ನೆತ್ತಿಗೇರು	ಅತಿಯಾಗಿ ಕೋಪ ಮಾಡಿಕೊಳ್ಳು
ಪೀಕಲಾಟ	ಇಕ್ಕಟ್ಟಿನ ಪರಿಸ್ಥಿತಿ
ಪೀಠಿಕೆ ಹಾಕು	ಆರಂಭಿಸು, ಅನುಕೂಲಕರವಾದ ಸ್ಥಿತಿಯನ್ನು ಸಿದ್ಧಗೊಳಿಸು
ಪುಂಗಿ ಊದು	ಮರುಳು ಮಾಡು, ಪ್ರಭಾವ ಬೀರು
ಪುಕ್ಕ ಕತ್ತರಿಸು	ಗರ್ವ ಇಳಿಸು, ಹತೋಟಿಯಲ್ಲಿಡು
ಪುಚ್ಚ ಬಲಿ	ಶಕ್ತಿ ಹೆಚ್ಚಾಗು, ಸಾಮರ್ಥ್ಯ ಅಧಿಕವಾಗು
ಪುಟವಿಡು	ಪ್ರೋತ್ಸಾಹಿಸು, ಉತೆತೀಜನಗೊಳಿಸು
ಪುಡಿಯಾಳು	ಕೆಲಸಕ್ಕೆ ಬಾರದವ, ಅಪ್ರಯೋಜಕ
ಪುರಾಣ ತೆಗೆ	ಹಳೆಯ ವಿಷಯಗಳನ್ನು ಮತ್ತೆ ಮತ್ತೆ ಕೆದಕು
ಪುರಾಣ ಹೇಳು	ಅತಿಯಾಗಿ ಮಾತನಾಡು
ಪುರಳೆ ಹಚ್ಚಿಡು	ಜಗಳ ಹಚ್ಚು, ಮನಸ್ತಾಪವನ್ನು ಬೆಳೆಸು
ಪುಸ್ತಕದ ಬದನೇಕಾಯಿ	ಅನುಭವಕ್ಕೆ ಬಾರದ್ದು
ಪುಸ್ತಕದ ಹುಳು	ಸದಾಕಾಲ ಓದುತ್ತಿರುವವ, ವ್ಯವಹಾರ ಜ್ಞಾನ ಅರಿಯದವ
ಪೂಜೆಮಾಡು	ತಕ್ಕ ಶಾಸ್ತಿ ಮಾಡು, ಪಾಠ ಕಲಿಸು
ಪೂಸಿ ಮಾಡು	ಹೊಗಳು, ಮುದ್ದು ಮಾಡು, ರಮಿಸು, ಮರ್ಜಿ ಹಿಡಿ
ಪೆದ್ದಂಭಟ್ಟ	ಅತ್ಯಂತ ಪೆದ್ದ
ಪ್ರಪಂಚ ಕಾಣು	ಲೋಕಾನುಭವ ಹೊಂದು
ಪ್ರಮೀಳಾ ರಾಜ್ಯ	ಬರೀ ಹೆಂಗಸರಿಂದ ಕೂಡಿದ ಜಾಗ
ಪ್ರಾಣಕ್ಕೆ ಬರು	ವಿಪರೀತ ಕಷ್ಟವಾಗು, ತೊಂದರೆಯಾಗು
ಪ್ರಾಣ ಹಿಂಡು	ಬಹಳ ತೊಂದರೆ ಕೊಡು
ಪ್ರಾಣ ಹೋಗು	ಬಹಳ ಕಷ್ಟವಾಗು
ಪ್ರಾಯಕ್ಕೆ ಬರು	ಮೈನೆರು, ದೊಡ್ಡವಳಾಗು
ಫೇರಿ ಬಿಡು	ಓಡಿ ಹೋಗು, ಪಲಾಯನ ಮಾಡು
ಫೇರಿ ಹೊಡೆ	ಸುತ್ತಾಡು, ಸಂಚರಿಸು
ಬಂಗಾರದ ಪಂಜರ	ಸ್ವಾತಂತ್ರ್ಯವಿಲ್ಲದ ಸ್ಥಿತಿ
ಬಂಗಾರದ ಹೊಗೆಯಾಡು	ಸಮೃದ್ಧಿಯಾಗಿರು
ಬಂಗಾಳಿ ವಿದ್ಯೆ	ಮೋಸ, ವಂಚನೆ, ಠಕ್ಕತನ
ಬಂದ ದಾರಿ ಹಿಡಿ	ಮರಳಿ ಹೋಗು, ಹಿಂದಿರುಗು
ಬಕಧ್ಯಾನ	ಕಪಟ ಧ್ಯಾನ, ಮೋಸಗಾರಿಕೆ, ವಂಚನೆ
ಬಕರಾ	ಪೆದ್ದ, ದಡ್ಡ, ಮೂರ್ಖ
ಬಕಾಸುರ	ತಿನ್ನಾಸುಬಡಕ, ಹೆಚ್ಚು ತಿನ್ನುವವ, ಹೊಟ್ಟೆಬಾಕ
ಬಗಲಿಗೆ ಬೀಳು	ವಶವಾಗು, ಅಧೀನಕ್ಕೆ ಸಿಗು
ಬಗ್ಗು ಬಡಿ	ಬಾಯಿ ಮುಚ್ಚಿಸು, ಸುಮ್ಮನಿರಿಸು
ಬಟ್ಟ ಎಣಿಸು	ಲೆಕ್ಕ ಹಾಕು, ಎಣಿಸು
ಬಟ್ಟಲ ತಂಬುಲ	ಗೌರವಾರ್ಥವಾಗಿ ತಟ್ಟೆಯಲ್ಲಿ ಕೊಡುವ ವೀಳ್ಯ
ಬಡಪಟ್ಟಿಗೆ	ಸುಲಭವಾಗಿ, ಸರಾಗವಾಗಿ
ಬಡಾಯಿ ಕೊಚ್ಚು	ಜಂಬ ಹೊಡೆ
ಬಣ್ಣ ಕಟ್ಟಿ ಹೇಳು	ಅತಿಶಯವಾಗಿ ಹೇಳು, ಉತ್ಪ್ರೇಕ್ಷಿಸು
ಬಣ್ಣಗುಂದು	ಕಾಂತಿಹೀನವಾಗು, ಕಳೆಗುಂದು
ಬಣ್ಣದ ಮಾತು	ಬೂಟಾಟಿಕೆಯ ಮಾತು
ಬಣ್ಣ ಬದಲಾಯಿಸು	ಒಂದೊಂದು ಸಲ ಒಂದೊಂದು ತೆರನಾಗಿರು
ಬಣ್ಣ ಬಯಲಾಗು	ನಿಜ ಸ್ವರೂಪ ತಿಳಿ, ಮೋಸ ಹೊರಬೀಳು
ಬಣ್ಣ ಬಯಲಿಗೆ ಬರು	ಒಳಗುಟ್ಟು ರಟ್ಟಾಗು
ಬತ್ತಿಕೊಡು	ಮೋಸ ಮಾಡು, ವಂಚಿಸು
ಬತ್ತಿಯಿಡು	ಚಾಡಿ ಹೇಳು, ಹಚ್ಚಿಕೊಡು
ಬನ್ನೂರು ಕುರಿ	ಮೂರ್ಖ, ದಷ್ಟಪುಷ್ಟ
ಬರಹಿಡಿ	ಏನೂ ಸಿಗದಿರುವ ಸ್ಥಿತಿ
ಬರೆ ಎಳಿ	ನೋವನ್ನುಂಟು ಮಾಡು, ತೊಂದರೆ ಕೊಡು
ಬಲಗೈ	ಎಲ್ಲ ಕೆಲಸಗಳಲ್ಲಿ ಸಹಾಯ ಮಾಡುವವ, ಅತ್ಯಂತ ಆಪ್ತ
ಬಲಿಬೀಳು	ತುತ್ತಾಗು, ವಶವಾಗು
ಬಲಿಹಾಕು	ಶಿಕ್ಷಿಸು, ತಕ್ಕ ಶಾಸ್ತಿಮಾಡು
ಬಲೆಗೆ ಹಾಕಿಕೊಳ್ಳು	ವಶಕ್ಕೆ ತೆಗೆದುಕೊಳ್ಳು, ಅಧೀನ ಮಾಡಿಕೊಳ್ಳುವುದು
ಬಲೆ ಬೀಸು	ಪ್ರಯತ್ನಪಡು, ಹೊಂಚುಹಾಕು
ಬಲೆಗೆ ಬೀಳು	ಸಿಕ್ಕಿ ಹಾಕಿಕೊಳ್ಳು, ಬೇಸ್ತು ಬೀಳು
ಬಳೆ ತೊಡಿಸು	ಬಂಧಿಸು, ಕೊಳಹಾಕು
ಬಳೆ ತೊಡು	ಹೇಡಿಯಾಗು, ಗಂಡಸುತನ ಕಳೆದುಕೊಳ್ಳು
ಬಾಗಿಲುಕಾಯು	ಸೇವೆ ಮಾಡು, ಗುಲಾಮಗಿರಿ ಮಾಡು
ಬಾಗಿಲು ತೋರಿಸು	ಹೊರಗೆ ಕಳಿಸು
ಬಾಗಿಲು ಮುಚ್ಚು	ಪ್ರವೇಶ ನೀಡದಿರು
ಬಾದರಾಯಣ ಸಂಬಂಧ	ತುಂಬ ದೂರದ ಸಂಬಂಧ
ಬಾಯಲ್ಲಿ ನೀರೂರು	ಆಸೆ ಹುಟ್ಟು ಬಯಕೆಯಾಗು, ಅಪೇಕ್ಷೆಯಾಗು
ಬಾಯಲ್ಲಿ ಮಣ್ಣು ಬೀಳು	ನಾಶವಾಗು, ಹಾಳಾಗು
ಬಾಯಾಡಿಸು	ತಿನ್ನುತ್ತಿರು, ಮೆಲ್ಲುತ್ತಿರು
ಬಾಯಿ ಇಲ್ಲದವನು	ಸರಿಯಾಗಿ ಮಾತನಾಡಲು ಬರದವನು
ಬಾಯಿ ಕಟ್ಟು	ಪಥ್ಯ ಮಾಡು, ದಾಕ್ಷಿಣ್ಯಕ್ಕೆ ಸಿಗು, ನಿರುತ್ತರನನ್ನಾಗಿ ಮಾಡು
ಬಾಯಿ ಕೆಡು	ಜ್ವರಬರು, ತಿಂಡಿ ತೀರ್ಥಗಳು ರುಚಿಸದಿರು
ಬಾಯಿ ಕೊಚ್ಚು	ಜಂಬ ಕೊಚ್ಚಿಕೊಳ್ಳು
ಬಾಯಿಗೆ ತುತ್ತಾಗು	ನಿಂದೆಗೆ ಗುರಿಯಾಗು, ಮಾತಿಗೆ ಸಿಗು
ಬಾಯಿಗೆ ಬೀಗ ಹಾಕು	ಮಾತು ನಿಲ್ಲಿಸು, ಸುಮ್ಮನಿರು
ಬಾಯಿಗೆ ಬೀಳು	ನಿಂದೆಗೆ ಗುರಿಯಾಗು
ಬಾಯಿಗೆ ಮಣ್ಣಾಗು	ಹಾಳಾಗು, ನಾಶವಾಗು
ಬಾಯಿಗೆ ಮಣ್ಣು ಬೀಳು	ಜೀವಿಸಲು ತೊಂದರೆಯಾಗು
ಬಾಯಿ ಚಪಲ	ತಿನ್ನುವ ಬಯಕೆ, ಮಾತನಾಡುವ ಬಯಕೆ
ಬಾಯಿ ಚಪ್ಪರಿಸು	ತಿನ್ನಲು ಆಸೆಪಡು
ಬಾಯಿ ತಂಬುಲ	ಅನ್ಯರ ಋಣಭಾರ, ಬೇರೆಯವರ ಹಂಗು
ಬಾಯಿ ತೀಟೆ	ಬೇರೆಯವರನ್ನು ಬಯ್ಯುವ ಬಯಕೆ
ಬಾಯಿ ತುಂಬ	ಮನಃಪೂರ್ವಕವಾಗಿ
ಬಾಯಿ ತೆರೆ	ಮಾತನಾಡು, ಬಯಸು, ಹಂಬಲಿಸು
ಬಾಯಿಪಾಠ ಮಾಡು	ನೆನಪಿನಲ್ಲಿಟ್ಟುಕೊಳ್ಳಲು ಯತ್ನಿಸು, ಉರು ಹೊಡೆ
ಬಾಯಿ ಬಡಿ	ಬೇರೆಯವರಿಗೆ ಅವಕಾಶ ಕೊಡದಂತೆ ಮಾತನಾಡು
ಬಾಯಿ ಬಡುಕ	ಎದುರಾಳಿಗಳ ಬಾಯಿ ಮುಚ್ಚುವಂತೆ ಮಾಡನಾಡುವವ
ಬಾಯಿ ಬಾಯಿಬಿಡು	ಹಂಬಲಿಸು, ಇಚ್ಛಿಸು, ಬಯಸು
ಬಾಯಿ ಬಿಡು	ಆಶ್ಚರ್ಯಪಡು, ಮಾತನಾಡು, ಬಯಸು, ಇಚ್ಛಿಸು, ಯಾಚಿಸು, ಬೇಡು, ಬೇಡಿಕೊಳ್ಳು
ಬಾಯಿ ಮಾಡು	ಗದ್ದಲ ಮಾಡು, ಕಿರುಚಾಡು, ಕೂಗಾಡು
ಬಾಯಿ ಮಾತು	ನಂಬಲು ಅರ್ಹವಲ್ಲದ ಹೇಳಿಕೆ, ಆಧಾರವಿಲ್ಲದ ಹೇಳಿಕೆ
ಬಾಯಿಯ ಮೇಲೆ ಬೆರಳಿಡು	ಆಶ್ಚರ್ಯ ಚಕಿತನಾಗು, ವಿಸ್ಮಿತನಾಗು
ಬಾಯಿ ಸತ್ತವನು	ಹೆಚ್ಚು ಮಾತನಾಡದವ, ಸಂಕುಚಿತ ಸ್ವಭಾವದವ
ಬಾಯಿ ಸಿಹಿ ಮಾಡು	ಒಳ್ಳೆಯ ಸುದ್ದಿಯನ್ನು ನೀಡು
ಬಾಯಿ ಹರಿಬಿಡು	ಹಿಂದು ಮುಂದು ನೋಡದೆ ಮಾತನಾಡು
ಬಾಯಿ ಹಾಕು	ನಡುವೆ ಮಾತನಾಡು, ಮಧ್ಯ ಪ್ರವೇಶಿಸು
ಬಾಲಂಗೋಸಿ	ಹಿಂಬಾಲಕ, ಚೇಲಾ, ಅನುಯಾಯಿ
ಬಾಲ ಅಲ್ಲಾಡಿಸು	ಅತಿಯಾದ ವಿಧೇಯತೆಯನ್ನು ತೋರಿಸು
ಬಾಲ ಕತ್ತರಿಸು	ಗರ್ವವನ್ನು ಮುರಿ, ಸೊಕ್ಕು ಮುರಿ
ಬಾಲ ಬಡಿ	ಹೇಳಿದ್ದನ್ನು ಕೇಳು, ಮರ್ಜಿ ಹಿಡಿ
ಬಾಲ ಬಡುಕ	ಹಿಂಬಾಲಕ, ಅನಚರ, ಚೇಲಾ
ಬಾಲ ಬಿಚ್ಚು	ಕೀಟಲೆ ಮಾಡು, ತುಂಟಾಟ ಮಾಡು
ಬಾಲ ಮುದುರು	ನಮ್ರತೆಯಿಂದ ಇರು
